URL,Guide Name,Average Rating,Number of Ratings,Unique Visitors,Current Subscribers,Current Favorites,Number of Comments
http://steamcommunity.com/sharedfiles/filedetails/?id=129062086,6.85 - Standard Vengeful Spirit (Lane) Build,5,231252 ,4620,863778,98,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=129060054,6.85 - Standard Kunkka (Lane) Build,5,229228 ,3627,766615,74,2 
http://steamcommunity.com/sharedfiles/filedetails/?id=129056935,6.85 - Standard Clinkz (Lane) Build,5,305162 ,4545,1017567,120,7 
http://steamcommunity.com/sharedfiles/filedetails/?id=128972272,6.85 - Standard Spirit Breaker (Lane) Build,5,266671 ,4876,915062,116,9 
http://steamcommunity.com/sharedfiles/filedetails/?id=128960249,6.85 - Standard Anti-Mage (Lane) Build,5,223571 ,4062,742038,96,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=128956358,6.85 - Standard Slark (Lane) Build,5,277055 ,4248,970178,96,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=128945163,6.85 - Standard Magnus (Middle) Build,5,241521 ,3149,920195,68,3 
http://steamcommunity.com/sharedfiles/filedetails/?id=128937771,6.85 - Standard Shadow Demon (Lane) Build,5,215060 ,3799,846424,68,3 
http://steamcommunity.com/sharedfiles/filedetails/?id=128932114,6.85 - Standard Nyx Assassin (Middle) Build,5,383040 ,8258,1093844,199,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=128929132,6.85 - Standard Lion (Lane) Build,5,197569 ,4210,661675,104,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=128927319,6.85 - Standard Rubick (Lane) Build,5,244678 ,3708,843317,85,3 
http://steamcommunity.com/sharedfiles/filedetails/?id=128925332,6.85 - Standard Nature's Prophet (Jungle) Build,5,321351 ,6201,999753,162,7 
http://steamcommunity.com/sharedfiles/filedetails/?id=128922664,6.85 - Standard Faceless Void (Lane) Build,5,360969 ,5980,1136049,122,8 
http://steamcommunity.com/sharedfiles/filedetails/?id=128920907,6.85 - Standard Phantom Assassin (Lane) Build,5,356923 ,5386,1118771,133,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=128918471,6.85 - Standard Chaos Knight (Lane) Build,5,187983 ,5335,696529,125,12 
http://steamcommunity.com/sharedfiles/filedetails/?id=128917369,6.85 - Standard Lycan (Jungle) Build,5,189027 ,5237,672157,82,3 
http://steamcommunity.com/sharedfiles/filedetails/?id=128914193,6.85 - Standard Wraith King (Lane) Build,5,223074 ,5490,780911,130,14 
http://steamcommunity.com/sharedfiles/filedetails/?id=128912519,6.85 - Standard Tidehunter (Lane) Build,5,267170 ,4190,969183,86,3 
http://steamcommunity.com/sharedfiles/filedetails/?id=128909765,6.85 - Standard Dragon Knight (Lane) Build,5,196669 ,4755,683109,124,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=128906539,6.85 - Standard Pudge (Middle) Build,5,186828 ,2997,679225,95,7 
http://steamcommunity.com/sharedfiles/filedetails/?id=128903691,6.85 - Standard Visage (Lane) Build,5,149609 ,3118,665369,59,6 
http://steamcommunity.com/sharedfiles/filedetails/?id=128899869,6.85 - Standard Pugna (Lane) Build,5,310647 ,4401,1072917,76,7 
http://steamcommunity.com/sharedfiles/filedetails/?id=128898296,6.85 - Standard Ancient Apparition (Middle) Build,5,117461 ,3097,421981,58,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=128895761,6.85 - Standard Leshrac (Lane) Build,5,242726 ,3946,785057,79,2 
http://steamcommunity.com/sharedfiles/filedetails/?id=128891336,6.85 - Standard Warlock (Lane) Build,5,141145 ,3157,528396,68,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=128887479,6.85 - Standard Enigma (Jungle) Build,5,235610 ,3646,849059,82,3 
http://steamcommunity.com/sharedfiles/filedetails/?id=128882317,6.85 - Standard Lich (Lane) Build,5,282654 ,7784,892183,212,11 
http://steamcommunity.com/sharedfiles/filedetails/?id=128876778,6.85 - Standard Bane (Lane) Build,5,184579 ,3912,636425,86,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=128873254,6.85 - Standard Keeper of the Light (Lane) Build,5,259631 ,5616,811006,142,6 
http://steamcommunity.com/sharedfiles/filedetails/?id=128871463,6.85 - Standard Disruptor (Lane) Build,5,125175 ,3130,492937,69,3 
http://steamcommunity.com/sharedfiles/filedetails/?id=128866569,6.85 - Standard Ogre Magi (Lane) Build,5,289072 ,8390,926742,152,12 
http://steamcommunity.com/sharedfiles/filedetails/?id=128862386,6.85 - Standard Jakiro (Lane) Build,5,181842 ,3583,680210,77,3 
http://steamcommunity.com/sharedfiles/filedetails/?id=128858659,6.85 - Standard Enchantress (Jungle) Build,5,128503 ,3732,562797,60,1 
http://steamcommunity.com/sharedfiles/filedetails/?id=128855291,6.85 - Standard Puck (Middle) Build,5,109605 ,2759,456886,72,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=128851981,6.85 - Standard Crystal Maiden (Lane) Build,5,333392 ,5414,1041105,171,9 
http://steamcommunity.com/sharedfiles/filedetails/?id=128757681,6.85 - Standard Broodmother (Lane) Build,5,312877 ,4269,1008562,104,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=128756420,6.85 - Standard Razor (Middle) Build,5,270837 ,5050,1002139,144,2 
http://steamcommunity.com/sharedfiles/filedetails/?id=128754907,6.85 - Standard Bloodseeker (Middle) Build,5,166922 ,3899,602859,74,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=128753951,6.85 - Standard Troll Warlord (Lane) Build,5,239914 ,4128,842658,92,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=128752632,6.85 - Standard Ursa (Jungle) Build,5,216871 ,6294,636593,123,7 
http://steamcommunity.com/sharedfiles/filedetails/?id=128751287,6.85 - Standard Bounty Hunter (Lane) Build,5,398479 ,6789,1288817,166,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=128748151,6.85 - Standard Templar Assassin (Middle) Build,5,205295 ,4536,769397,104,3 
http://steamcommunity.com/sharedfiles/filedetails/?id=128746588,6.85 - Standard Sniper (Lane) Build,5,178290 ,3813,623363,78,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=128745244,6.85 - Standard Riki (Lane) Build,5,368904 ,5527,1192275,149,13 
http://steamcommunity.com/sharedfiles/filedetails/?id=128743885,6.85 - Standard Drow Ranger (Lane) Build,5,283598 ,5717,938156,163,12 
http://steamcommunity.com/sharedfiles/filedetails/?id=128742802,6.85 - Standard Undying (Lane) Build,5,164452 ,4050,667843,68,6 
http://steamcommunity.com/sharedfiles/filedetails/?id=128741319,6.85 - Standard Night Stalker (Middle) Build,5,210444 ,3704,828920,82,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=128735861,6.85 - Standard Centaur Warrunner (Lane) Build,5,148092 ,9848,564470,245,12 
http://steamcommunity.com/sharedfiles/filedetails/?id=128734250,6.85 - Standard IO (Lane) Build,5,119939 ,3685,521228,69,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=128732275,6.85 - Standard Clockwerk (Lane) Build,5,203348 ,3827,804218,76,9 
http://steamcommunity.com/sharedfiles/filedetails/?id=128730475,6.85 - Standard Dazzle (Lane) Build,5,201176 ,3802,742382,80,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=128728638,6.85 - Standard Lifestealer (Jungle) Build,5,678448 ,42281,1637836,572,85 
http://steamcommunity.com/sharedfiles/filedetails/?id=128726494,6.85 - Standard Axe (Lane) Build,5,184869 ,4217,650362,86,4 
Totals,145,723,29498630,1030627,106111408,14175,2054
Averages,145,4.9862068965517246,203438.8275862069,7107.772413793104,731802.8137931034,97.75862068965517,14.16551724137931
